1.00E+00,3.08E+05
2.00E+00,6.94E+04
3.00E+00,1.12E+04
4.00E+00,8.80E+03
5.00E+00,7.87E+03
6.00E+00,7.63E+03
7.00E+00,7.84E+03
8.00E+00,8.21E+03
9.00E+00,7.77E+03
1.00E+01,7.82E+03
1.10E+01,7.86E+03
1.20E+01,8.17E+03
1.30E+01,7.87E+03
1.40E+01,8.36E+03
1.50E+01,7.88E+03
1.60E+01,8.12E+03
1.70E+01,8.46E+03
1.80E+01,7.81E+03
1.90E+01,7.77E+03
2.00E+01,7.95E+03
2.10E+01,7.47E+03
2.20E+01,7.51E+03
2.30E+01,8.06E+03
2.40E+01,7.53E+03
2.50E+01,8.08E+03
2.60E+01,8.17E+03
2.70E+01,7.87E+03
2.80E+01,8.02E+03
2.90E+01,8.00E+03
3.00E+01,7.87E+03
3.10E+01,8.05E+03
3.20E+01,8.13E+03
3.30E+01,8.02E+03
3.40E+01,8.01E+03
3.50E+01,7.80E+03
3.60E+01,7.85E+03
3.70E+01,7.90E+03
3.80E+01,7.78E+03
3.90E+01,8.09E+03
4.00E+01,7.93E+03
4.10E+01,7.78E+03
4.20E+01,7.93E+03
4.30E+01,7.99E+03
4.40E+01,7.92E+03
4.50E+01,7.98E+03
4.60E+01,7.86E+03
4.70E+01,8.01E+03
4.80E+01,7.75E+03
4.90E+01,7.91E+03
5.00E+01,7.55E+03
5.10E+01,7.89E+03
5.20E+01,7.89E+03
5.30E+01,7.86E+03
5.40E+01,8.07E+03
5.50E+01,7.52E+03
5.60E+01,7.78E+03
5.70E+01,7.87E+03
5.80E+01,7.95E+03
5.90E+01,7.80E+03
6.00E+01,8.16E+03
6.10E+01,7.83E+03
6.20E+01,8.51E+03
6.30E+01,7.92E+03
6.40E+01,7.88E+03
6.50E+01,8.02E+03
6.60E+01,7.95E+03
6.70E+01,8.07E+03
6.80E+01,8.20E+03
6.90E+01,7.83E+03
7.00E+01,8.13E+03
7.10E+01,7.70E+03
7.20E+01,7.74E+03
7.30E+01,7.65E+03
7.40E+01,7.84E+03
7.50E+01,8.07E+03
7.60E+01,7.90E+03
7.70E+01,7.93E+03
7.80E+01,8.12E+03
7.90E+01,7.87E+03
8.00E+01,7.92E+03
8.10E+01,7.75E+03
8.20E+01,8.00E+03
8.30E+01,7.98E+03
8.40E+01,8.02E+03
8.50E+01,7.65E+03
8.60E+01,7.91E+03
8.70E+01,8.27E+03
8.80E+01,8.08E+03
8.90E+01,8.12E+03
9.00E+01,8.16E+03
9.10E+01,7.93E+03
9.20E+01,7.73E+03
9.30E+01,7.90E+03
9.40E+01,7.70E+03
9.50E+01,7.95E+03
9.60E+01,8.04E+03
9.70E+01,8.09E+03
9.80E+01,7.80E+03
9.90E+01,7.72E+03
1.00E+02,7.82E+03
